order_id,week,comment
GC-107360,1,The recipes got really repetitive and boring after a while.
GC-111155,4,Quality went downhill and I'm done with it. Never again.
GC-106088,1,quit
GC-111488,1,Quality went downhill and I'm done with it. Never again.
GC-107701,6,Way too expensive for what you get. Not worth it.
GC-107602,3,Found a cheaper service that I like better.
GC-103267,4,Overpriced compared to just buying groceries myself.
GC-111383,8,Between jobs at the moment so I have to watch my budget. Loved the organic ingredients.
GC-102465,2,Expecting a newborn soon and need to scale back for now. Loved the meals. I'll come back once I can.
GC-100474,3,Found a cheaper service that I like better.
GC-108570,3,Packaging waste was excessive and it's not worth the price.
GC-106574,7,Found a cheaper service that I like better.
GC-101745,2,Overpriced compared to just buying groceries myself.
GC-101994,3,Between jobs at the moment so I have to watch my budget. Loved the organic ingredients.
GC-108930,3,The meals just weren't very tasty. Cancelling for good.
GC-111165,6,Found a cheaper service that I like better.
GC-100976,1,"Too many ingredients to prep, more work than it's worth."
GC-112065,2,Packaging waste was excessive and it's not worth the price.
GC-103616,1,quit
GC-100269,6,Way too expensive for what you get. Not worth it.
GC-111073,2,no
GC-105764,5,Between jobs at the moment so I have to watch my budget. Loved the organic ingredients.
GC-114104,1,Honestly just not impressed with the food quality.
GC-101997,6,"The food quality is great, just need to cut back on spending until my finances recover. Hope to be back soon!"
GC-103263,8,The recipes got really repetitive and boring after a while.
GC-103717,6,Overpriced compared to just buying groceries myself.
GC-113266,3,Found a cheaper service that I like better.
GC-102411,4,done
GC-108077,6,Overpriced compared to just buying groceries myself.
GC-105558,7,no comment
GC-103630,7,"My schedule got really hectic this semester, just too busy to keep up. Great variety though. Looking forward to returning."
GC-100671,8,Money's tight after some unexpected bills. The recipes are wonderful though.
GC-104865,2,Honestly just not impressed with the food quality.
GC-110292,5,Overpriced compared to just buying groceries myself.
GC-101561,2,-
GC-101135,8,Between jobs at the moment so I have to watch my budget. Loved the organic ingredients.
GC-103135,8,Way too expensive for what you get. Not worth it.
GC-111749,6,Quality went downhill and I'm done with it. Never again.
GC-112726,7,"The food quality is great, just need to cut back on spending until my finances recover. Will resubscribe when things settle."
GC-108430,7,The meals just weren't very tasty. Cancelling for good.
GC-103402,3,stop
GC-102889,2,"The food quality is great, just need to cut back on spending until my finances recover. I'll come back once I can."
GC-111314,3,Quality went downhill and I'm done with it. Never again.
GC-101019,4,Honestly just not impressed with the food quality.
GC-107673,2,Portions were small and the seasoning was bland. Disappointed.
GC-111424,1,Honestly just not impressed with the food quality.
GC-113182,7,Quality went downhill and I'm done with it. Never again.
GC-103069,6,no
GC-100496,1,Way too expensive for what you get. Not worth it.
GC-112482,3,The meals just weren't very tasty. Cancelling for good.
GC-102758,7,"In the middle of a move to a new apartment. Great recipes, will miss them."
GC-104701,6,Honestly just not impressed with the food quality.
GC-112242,3,The recipes got really repetitive and boring after a while.
GC-106219,4,The meals just weren't very tasty. Cancelling for good.
GC-110688,1,Quality went downhill and I'm done with it. Never again.
GC-105808,1,"My schedule got really hectic this semester, just too busy to keep up. Great variety though. Will resubscribe when things settle."
GC-100074,3,The recipes got really repetitive and boring after a while.
GC-109761,2,Found a cheaper service that I like better.
GC-108508,5,Portions were small and the seasoning was bland. Disappointed.
GC-104527,8,"Too many ingredients to prep, more work than it's worth."
GC-103211,4,I absolutely love these meals but money is really tight right now and I can't afford it this month. I'll come back once I can.
GC-102715,4,Some family circumstances mean I have to pause temporarily. The food was wonderful.
GC-112072,1,Money's tight after some unexpected bills. The recipes are wonderful though.
GC-100238,7,"Too many ingredients to prep, more work than it's worth."
GC-100407,8,The meals just weren't very tasty. Cancelling for good.
GC-107647,8,Quality went downhill and I'm done with it. Never again.
GC-110864,1,Way too expensive for what you get. Not worth it.
GC-108355,4,done
GC-105882,3,Portions were small and the seasoning was bland. Disappointed.
GC-110805,6,Way too expensive for what you get. Not worth it.
GC-107726,7,Overpriced compared to just buying groceries myself.
GC-108118,7,The recipes got really repetitive and boring after a while.
GC-112438,7,Overpriced compared to just buying groceries myself.
GC-113694,7,Quality went downhill and I'm done with it. Never again.
GC-107561,2,no comment
GC-107628,5,Quality went downhill and I'm done with it. Never again.
GC-106747,4,Found a cheaper service that I like better.
GC-102114,3,Packaging waste was excessive and it's not worth the price.
GC-111148,5,Honestly just not impressed with the food quality.
GC-110032,1,Way too expensive for what you get. Not worth it.
GC-107378,3,The meals just weren't very tasty. Cancelling for good.
GC-104246,7,done
GC-112558,7,Honestly just not impressed with the food quality.
GC-104213,6,Honestly just not impressed with the food quality.
GC-100466,3,no
GC-108053,6,Way too expensive for what you get. Not worth it.
GC-107330,3,Between jobs at the moment so I have to watch my budget. Loved the organic ingredients. I'll come back once I can.
GC-101488,1,.
GC-106493,6,Packaging waste was excessive and it's not worth the price.
GC-113511,8,"Too many ingredients to prep, more work than it's worth."
GC-107839,8,New shift means I'm never home for dinner. I really enjoyed the recipes. Hope to be back soon!
GC-104089,2,"Too many ingredients to prep, more work than it's worth."
GC-104608,1,Portions were small and the seasoning was bland. Disappointed.
GC-101835,4,done
GC-102225,2,The recipes got really repetitive and boring after a while.
GC-105769,2,Quality went downhill and I'm done with it. Never again.
GC-111031,8,The meals just weren't very tasty. Cancelling for good.
GC-110896,1,"My schedule got really hectic this semester, just too busy to keep up. Great variety though. I'll come back once I can."
GC-110278,7,.
GC-108999,8,Health issue means I need a different diet temporarily. Wonderful food otherwise. Looking forward to returning.
GC-106058,3,Way too expensive for what you get. Not worth it.
GC-104760,1,Honestly just not impressed with the food quality.
GC-107859,4,stop
GC-108030,7,Quality went downhill and I'm done with it. Never again.
GC-109528,1,Some family circumstances mean I have to pause temporarily. The food was wonderful. I'll come back once I can.
GC-113038,7,"The food quality is great, just need to cut back on spending until my finances recover. I'll come back once I can."
GC-105758,7,The recipes got really repetitive and boring after a while.
GC-112961,2,Honestly just not impressed with the food quality.
GC-109658,3,Honestly just not impressed with the food quality.
GC-103789,6,I absolutely love these meals but money is really tight right now and I can't afford it this month. Looking forward to returning.
GC-104615,8,Found a cheaper service that I like better.
GC-112836,5,"Too many ingredients to prep, more work than it's worth."
GC-108167,8,Way too expensive for what you get. Not worth it.
GC-111448,1,-
GC-110158,7,Found a cheaper service that I like better.
GC-100954,3,The recipes got really repetitive and boring after a while.
GC-104519,8,The recipes got really repetitive and boring after a while.
GC-111852,5,The meals just weren't very tasty. Cancelling for good.
GC-111811,4,"The food quality is great, just need to cut back on spending until my finances recover."
GC-108103,8,done
GC-104451,4,Honestly just not impressed with the food quality.
GC-110543,8,Overpriced compared to just buying groceries myself.
GC-101680,1,The recipes got really repetitive and boring after a while.
GC-108539,4,New shift means I'm never home for dinner. I really enjoyed the recipes. Looking forward to returning.
GC-106542,7,no comment
GC-110978,3,Found a cheaper service that I like better.
GC-101555,4,Quality went downhill and I'm done with it. Never again.
GC-108018,3,n/a
GC-111829,6,Money's tight after some unexpected bills. The recipes are wonderful though.
GC-105836,5,The recipes got really repetitive and boring after a while.
GC-110111,8,Way too expensive for what you get. Not worth it.
GC-102937,2,Quality went downhill and I'm done with it. Never again.
GC-103738,3,I absolutely love these meals but money is really tight right now and I can't afford it this month. I'll come back once I can.
GC-101748,5,Quality went downhill and I'm done with it. Never again.
GC-107237,6,Portions were small and the seasoning was bland. Disappointed.
GC-105773,6,Going through some personal stuff right now and need to step back for now. Loved the meals.
GC-111016,1,Going through a medical treatment and can't manage cooking at the moment. Loved the quality. Looking forward to returning.
GC-104232,1,The meals just weren't very tasty. Cancelling for good.
GC-112022,7,Honestly just not impressed with the food quality.
GC-111809,2,Money's tight after some unexpected bills. The recipes are wonderful though. Will resubscribe when things settle.
GC-105634,3,"Too many ingredients to prep, more work than it's worth."
GC-112083,4,Traveling for work for the next two months so I have to pause. The meals were fantastic. I'll come back once I can.
GC-106648,1,"My schedule got really hectic this semester, just too busy to keep up. Great variety though. Looking forward to returning."
GC-105962,3,"My schedule got really hectic this semester, just too busy to keep up. Great variety though. Hope to be back soon!"
GC-102976,1,.
GC-111916,5,Packaging waste was excessive and it's not worth the price.
GC-114006,7,Quality went downhill and I'm done with it. Never again.
GC-114078,7,The meals just weren't very tasty. Cancelling for good.
GC-112718,7,Portions were small and the seasoning was bland. Disappointed.
GC-107499,4,"Too many ingredients to prep, more work than it's worth."
GC-108566,7,I absolutely love these meals but money is really tight right now and I can't afford it this month. Looking forward to returning.
GC-109146,3,Way too expensive for what you get. Not worth it.
GC-111406,7,"Too many ingredients to prep, more work than it's worth."
GC-110818,3,Quality went downhill and I'm done with it. Never again.
GC-103395,4,Money's tight after some unexpected bills. The recipes are wonderful though. Hope to be back soon!
